ru_word,en_word,transcription,example_en,example_ru
отказываться,abandon,[əˈbændən],So you abandon your investment plan.,"Поэтому, вы отказываетесь от вашего инвестиционного плана."
способность,ability,[əˈbɪlɪtɪ],My ability and my potential.,Мои способности и мой потенциал.
способный,able,[ˈeɪbl],they are able to sense.,они способны чувствовать.
отменять,abolish,[əˈbɔlɪʃ],The government should abolish coeducation.,Правительство должно отменить совместное обучение.
аборт,abortion,[əˈbɔ:ʃən],"You know, the abortion doctor.","Ну знаешь, врачиха, делающая аборты."
отсутствие,absence,[ˈæbsəns],Absence information for new workers,Сведения об отсутствии для новых работников
отсутствующий,absent,['æbs(ə)nt],"Family annihilator, absent father, wedding rings.","Уничтожение семей, отсутствующий отец, обручальные кольца."
абсолютный,absolute,[ˈæbsəlu:t],"""Absolute heathen"", wasn't it?","""Абсолютные язычники"", не так ли?"
поглощать,absorb,[əbˈsɔ:b],Trees give off oxygen and absorb carbon dioxide.,Деревья выделяют кислород и поглощают углекислый газ.
абстрактный,abstract,['æbstrækt],"These doctrines seemed unproven, abstract.",я считала её доктрины - недоказанные и абстрактные на восприятие - абсолютно невозможными.
абсурдный,absurd,[əbˈsə:d],That is an absurd outcome.,Это абсурдный результат.
изобилие,abundance,[əˈbʌndəns],Welcome to the economics of abundance.,Добро пожаловать в экономику изобилия.
злоупотребление,abuse,[ə'bjuːs],Plenty of Opportunity For Market Abuse,Множество возможностей злоупотребления рынком
злоупотреблять,abuse,[ə'bjuːs],Plenty of Opportunity For Market Abuse,Множество возможностей злоупотребления рынком
академический,academic,[ˌækəˈdemɪk],"Aptitude tests, psychological reports, academic studies.","Тесты на способности, психологический портрет, академическая успеваемость."
академик,academic,[ˌækəˈdemɪk],"Please, doctor, indulge a humble academic.","Пожалуйста, доктор, побалуйте покорного академика."
академия,academy,[əˈkædəmɪ],"Yeah, the Police Academy washout.","Да, неудачник Полицейской Академии."
ускорять,accelerate,[əkˈseləreɪt],We need to accelerate these shifts.,Мы должны ускорить перемены.
акцент,accent,['æks(ə)nt],He does have an accent.,У него действительно лёгкий акцент.
принимать,accept,[əkˈsept],Please accept my sincerest condolences.,"Пожалуйста, примите мои искренние соболезнования."
приемлемый,acceptable,[əkˈseptəbl],Acceptable use of our services,Приемлемое использование наших сервисов
принятие,acceptance,[əkˈseptəns],That is an acceptance letter.,Это письмо о принятии.
доступ,access,[ˈækses],Exchange 2013 Client Access server,Сервер клиентского доступа Exchange 2013
получать доступ,access,[ˈækses],The local metabase cannot be accessed,Не удается получить доступ к локальной метабазе
доступный,accessible,[əkˈsesəbl],Make your images more accessible,Создание доступных изображений
